Index	Label	Type	Name	ID	Integral [QL]	Area [pixel]	Bkg [QL]	Integral-Bkg [QL]	Integral/Area [QL/mm²]	Integral/Area-Bkg [QL/mm²]	Median [QL]	Median-Bkg [QL]	Normalized [%]	Normalized-Bkg [%]	Average [QL]	Average-Bkg [QL]	Average [%]	Average-Bkg [%]	Deviation [QL]	Deviation [%]	Deviation-Bkg [QL]	Deviation-Bkg [%]	Homogeneity [%]	Quality
63	1-3,19			176G1	120811.0	208	22152.0	98659.0	5808221.2	4743221.2	495.0	388.5	--	--	--	--	--	--	--	--	--	--	13.1	
64	1-3,20			92O12	203412.0	208	25376.0	178036.0	9779423.1	8559423.1	425.5	303.5	--	--	--	--	--	--	--	--	--	--	37.9	sd.
65	1-3,21			124L6	96533.0	208	25376.0	71157.0	4641009.6	3421009.6	505.5	383.5	--	--	--	--	--	--	--	--	--	--	10.6	
66	1-3,22			169C16	596225.0	208	30680.0	565545.0	28664663.5	27189663.5	1222.0	1074.5	--	--	--	--	--	--	--	--	--	--	35.2	sd.
67	1-4,1			83C7	74263.0	208	24024.0	50239.0	3570336.5	2415336.5	134.5	19.0	--	--	--	--	--	--	--	--	--	--	60.2	
68	1-4,2			196L20	26836.0	208	20800.0	6036.0	1290192.3	290192.3	95.5	-4.5	--	--	--	--	--	--	--	--	--	--	28.5	
69	1-4,3			188D2	53459.0	208	18096.0	35363.0	2570144.2	1700144.2	163.5	76.5	--	--	--	--	--	--	--	--	--	--	6.4	
70	1-4,4			181O14	217580.0	208	14040.0	203540.0	10460576.9	9785576.9	516.0	448.5	--	--	--	--	--	--	--	--	--	--	42.1	sd.
71	1-4,5			emptywell	16875.0	208	11960.0	4915.0	811298.1	236298.1	68.5	11.0	--	--	--	--	--	--	--	--	--	--	4.6	
72	1-4,6			164D20	69774.0	208	16848.0	52926.0	3354519.2	2544519.2	150.5	69.5	--	--	--	--	--	--	--	--	--	--	8.1	
73	1-4,7			6P10	390464.0	208	12064.0	378400.0	18772307.7	18192307.7	1069.5	1011.5	--	--	--	--	--	--	--	--	--	--	2.7	
74	1-4,8			104L18	24405.0	208	12480.0	11925.0	1173317.3	573317.3	91.0	31.0	--	--	--	--	--	--	--	--	--	--	28.9	
75	1-4,9			21D7	248424.0	208	15704.0	232720.0	11943461.5	11188461.5	586.0	510.5	--	--	--	--	--	--	--	--	--	--	27.5	sd.
76	1-4,10			185L20	788591.0	208	17264.0	771327.0	37913028.8	37083028.8	1496.5	1413.5	--	--	--	--	--	--	--	--	--	--	37.6	sd.
77	1-4,11			126H8	26876.0	208	18512.0	8364.0	1292115.4	402115.4	96.5	7.5	--	--	--	--	--	--	--	--	--	--	57.9	
78	1-4,12			120O19	533083.0	208	13728.0	519355.0	25628990.4	24968990.4	2072.0	2006.0	--	--	--	--	--	--	--	--	--	--	16.9	
79	1-4,13			33K24	524448.0	208	18928.0	505520.0	25213846.2	24303846.2	418.0	327.0	--	--	--	--	--	--	--	--	--	--	33.1	sd.
80	1-4,14			105C19	53303.0	208	16224.0	37079.0	2562644.2	1782644.2	132.5	54.5	--	--	--	--	--	--	--	--	--	--	47.7	
81	1-4,15			107P9	95412.0	208	19760.0	75652.0	4587115.4	3637115.4	211.0	116.0	--	--	--	--	--	--	--	--	--	--	42.8	
82	1-4,16			99H19	65302.0	208	20488.0	44814.0	3139519.2	2154519.2	144.5	46.0	--	--	--	--	--	--	--	--	--	--	34.0	
83	1-4,17			117G7	25591.0	208	20696.0	4895.0	1230336.5	235336.5	99.0	-0.5	--	--	--	--	--	--	--	--	--	--	80.3	
84	1-4,18			112L20	31950.0	208	19240.0	12710.0	1536057.7	611057.7	128.5	36.0	--	--	--	--	--	--	--	--	--	--	59.1	
85	1-4,19			176H7	130791.0	208	16120.0	114671.0	6288028.8	5513028.8	346.5	269.0	--	--	--	--	--	--	--	--	--	--	25.9	sd.
86	1-4,20			91P23	49691.0	208	25064.0	24627.0	2388990.4	1183990.4	194.5	74.0	--	--	--	--	--	--	--	--	--	--	19.4	
87	1-4,21			124K7	30824.0	208	25064.0	5760.0	1481923.1	276923.1	129.5	9.0	--	--	--	--	--	--	--	--	--	--	131.1	
88	1-4,22			170E19	165469.0	208	21736.0	143733.0	7955240.4	6910240.4	388.0	283.5	--	--	--	--	--	--	--	--	--	--	38.9	sd.
89	1-5,1			84F22	48659.0	208	27872.0	20787.0	2339375.0	999375.0	135.0	1.0	--	--	--	--	--	--	--	--	--	--	1.9	
90	1-5,2			196O4	448221.0	208	28080.0	420141.0	21549086.5	20199086.5	1429.5	1294.5	--	--	--	--	--	--	--	--	--	--	10.8	
91	1-5,3			188D20	439970.0	208	22776.0	417194.0	21152403.8	20057403.8	571.5	462.0	--	--	--	--	--	--	--	--	--	--	50.4	sd.
92	1-5,4			111F3	32385.0	208	20280.0	12105.0	1556971.2	581971.2	104.0	6.5	--	--	--	--	--	--	--	--	--	--	7.3	
93	1-5,5			emptywell	20576.0	208	15704.0	4872.0	989230.8	234230.8	79.0	3.5	--	--	--	--	--	--	--	--	--	--	7.1	
94	1-5,6			164K2	154593.0	208	15496.0	139097.0	7432355.8	6687355.8	346.0	271.5	--	--	--	--	--	--	--	--	--	--	37.6	sd.
95	1-5,7			8O18	180402.0	208	14664.0	165738.0	8673173.1	7968173.1	451.0	380.5	--	--	--	--	--	--	--	--	--	--	9.2	
96	1-5,8			103N4	59885.0	208	14560.0	45325.0	2879086.5	2179086.5	233.5	163.5	--	--	--	--	--	--	--	--	--	--	3.6	
97	1-5,9			20D14	194803.0	208	15392.0	179411.0	9365528.8	8625528.8	366.0	292.0	--	--	--	--	--	--	--	--	--	--	8.5	
98	1-5,10			184J1	62237.0	208	14768.0	47469.0	2992163.5	2282163.5	176.5	105.5	--	--	--	--	--	--	--	--	--	--	27.4	
99	1-5,11			126G14	25815.0	208	18200.0	7615.0	1241105.8	366105.8	105.5	18.0	--	--	--	--	--	--	--	--	--	--	45.9	
100	1-5,12			71D2	270997.0	208	15912.0	255085.0	13028701.9	12263701.9	681.5	605.0	--	--	--	--	--	--	--	--	--	--	24.9	
101	1-5,13			31L14	132610.0	208	12168.0	120442.0	6375480.8	5790480.8	295.5	237.0	--	--	--	--	--	--	--	--	--	--	24.4	
102	1-5,14			105H1	34754.0	208	15080.0	19674.0	1670865.4	945865.4	126.5	54.0	--	--	--	--	--	--	--	--	--	--	37.0	
103	1-5,15			107O13	81146.0	208	17472.0	63674.0	3901250.0	3061250.0	192.0	108.0	--	--	--	--	--	--	--	--	--	--	31.5	
104	1-5,16			101K4	139007.0	208	18408.0	120599.0	6683028.8	5798028.8	337.5	249.0	--	--	--	--	--	--	--	--	--	--	20.0	
105	1-5,17			117F12	32371.0	208	17888.0	14483.0	1556298.1	696298.1	117.0	31.0	--	--	--	--	--	--	--	--	--	--	62.5	
106	1-5,18			112O9	35081.0	208	18616.0	16465.0	1686586.5	791586.5	154.5	65.0	--	--	--	--	--	--	--	--	--	--	25.5	
107	1-5,19			177J13	108290.0	208	18824.0	89466.0	5206250.0	4301250.0	515.5	425.0	--	--	--	--	--	--	--	--	--	--	34.6	sd.
108	1-5,20			113C1	29200.0	208	19032.0	10168.0	1403846.2	488846.2	123.0	31.5	--	--	--	--	--	--	--	--	--	--	37.8	
109	1-5,21			124L19	44936.0	208	23400.0	21536.0	2160384.6	1035384.6	151.5	39.0	--	--	--	--	--	--	--	--	--	--	62.4	
110	1-5,22			169H2	467121.0	208	21736.0	445385.0	22457740.4	21412740.4	1582.0	1477.5	--	--	--	--	--	--	--	--	--	--	0.9	
111	1-6,1			84B24	120096.0	208	23712.0	96384.0	5773846.2	4633846.2	162.5	48.5	--	--	--	--	--	--	--	--	--	--	37.2	sd.
112	1-6,2			196P8	43918.0	208	20592.0	23326.0	2111442.3	1121442.3	164.0	65.0	--	--	--	--	--	--	--	--	--	--	10.9	
113	1-6,3			188E18	159514.0	208	15912.0	143602.0	7668942.3	6903942.3	273.0	196.5	--	--	--	--	--	--	--	--	--	--	11.1	
114	1-6,4			111D4	20612.0	208	14768.0	5844.0	990961.5	280961.5	85.0	14.0	--	--	--	--	--	--	--	--	--	--	43.1	
115	1-6,5			emptywell	17070.0	208	12064.0	5006.0	820673.1	240673.1	66.5	8.5	--	--	--	--	--	--	--	--	--	--	39.5	
116	1-6,6			190G12	125260.0	208	13728.0	111532.0	6022115.4	5362115.4	158.5	92.5	--	--	--	--	--	--	--	--	--	--	52.0	sd.
117	1-6,7			6P22	145676.0	208	14560.0	131116.0	7003653.8	6303653.8	231.0	161.0	--	--	--	--	--	--	--	--	--	--	41.6	sd.
118	1-6,8			104P6	41305.0	208	12376.0	28929.0	1985817.3	1390817.3	116.0	56.5	--	--	--	--	--	--	--	--	--	--	35.1	
119	1-6,9			18D19	612788.0	208	13312.0	599476.0	29460961.5	28820961.5	631.0	567.0	--	--	--	--	--	--	--	--	--	--	47.3	sd.
120	1-6,10			185L19	94145.0	208	16432.0	77713.0	4526201.9	3736201.9	273.5	194.5	--	--	--	--	--	--	--	--	--	--	27.6	sd.
121	1-6,11			126G21	38647.0	208	16328.0	22319.0	1858028.8	1073028.8	117.0	38.5	--	--	--	--	--	--	--	--	--	--	47.2	
122	1-6,12			70D8	171007.0	208	14456.0	156551.0	8221490.4	7526490.4	203.0	133.5	--	--	--	--	--	--	--	--	--	--	53.1	sd.
